ntu60_id,ntu60_label,semantic_coarse10_id,semantic_coarse10_name,semantic_coarse8_id,semantic_coarse8_name,trajectory_coarse10_id,trajectory_coarse10_name,trajectory_coarse8_id,trajectory_coarse8_name,trajectory_dominant_parts
1,drink water,C10-01,eat_drink,C8-01,self_care_and_dressing,M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head
2,eat meal/snack,C10-01,eat_drink,C8-01,self_care_and_dressing,M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head
3,brushing teeth,C10-02,personal_grooming,C8-01,self_care_and_dressing,M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head
4,brushing hair,C10-02,personal_grooming,C8-01,self_care_and_dressing,M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head
5,drop,C10-04,object_manipulation,C8-02,object_manipulation,M10-05,object_directed_limb_action,M8-04,object_directed_limb_action,arm+hand
6,pickup,C10-04,object_manipulation,C8-02,object_manipulation,M10-05,object_directed_limb_action,M8-04,object_directed_limb_action,arm+hand+trunk
7,throw,C10-04,object_manipulation,C8-02,object_manipulation,M10-05,object_directed_limb_action,M8-04,object_directed_limb_action,arm+trunk
8,sitting down,C10-05,posture_locomotion,C8-03,posture_locomotion,M10-06,posture_transition_locomotion,M8-05,posture_transition_locomotion,legs+trunk
9,standing up (from sitting position),C10-05,posture_locomotion,C8-03,posture_locomotion,M10-06,posture_transition_locomotion,M8-05,posture_transition_locomotion,legs+trunk
10,clapping,C10-06,expressive_gestures,C8-04,expressive_gestures,M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,both_hands+arms
11,reading,C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,hand+forearm+head
12,writing,C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,hand+forearm
13,tear up paper,C10-04,object_manipulation,C8-02,object_manipulation,M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,both_hands
14,wear jacket,C10-03,dressing_accessories,C8-01,self_care_and_dressing,M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,both_arms+trunk
15,take off jacket,C10-03,dressing_accessories,C8-01,self_care_and_dressing,M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,both_arms+trunk
16,wear a shoe,C10-03,dressing_accessories,C8-01,self_care_and_dressing,M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,hand+leg+trunk
