ntu60_id,ntu60_label,coarse10_id,coarse10_name,coarse8_id,coarse8_name,rule_basis,note
1,"drink water",C10-01,eat_drink,C8-01,self_care_and_dressing,consumption,"direct ingestion behavior"
2,"eat meal/snack",C10-01,eat_drink,C8-01,self_care_and_dressing,consumption,"direct ingestion behavior"
3,"brushing teeth",C10-02,personal_grooming,C8-01,self_care_and_dressing,grooming,"self-cleaning behavior"
4,"brushing hair",C10-02,personal_grooming,C8-01,self_care_and_dressing,grooming,"self-grooming behavior"
5,"drop",C10-04,object_manipulation,C8-02,object_manipulation,object_handling,"object release/manipulation"
6,"pickup",C10-04,object_manipulation,C8-02,object_manipulation,object_handling,"object acquisition/manipulation"
7,"throw",C10-04,object_manipulation,C8-02,object_manipulation,object_handling,"object-directed force application"
8,"sitting down",C10-05,posture_locomotion,C8-03,posture_locomotion,posture_transition,"body posture transition"
9,"standing up (from sitting position)",C10-05,posture_locomotion,C8-03,posture_locomotion,posture_transition,"body posture transition"
10,"clapping",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"communicative or affective hand gesture"
11,"reading",C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,document_device_use,"document-focused activity"
12,"writing",C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,document_device_use,"document-focused activity"
13,"tear up paper",C10-04,object_manipulation,C8-02,object_manipulation,object_handling,"physical manipulation of a paper object"
14,"wear jacket",C10-03,dressing_accessories,C8-01,self_care_and_dressing,dressing,"putting on clothing"
15,"take off jacket",C10-03,dressing_accessories,C8-01,self_care_and_dressing,dressing,"removing clothing"
16,"wear a shoe",C10-03,dressing_accessories,C8-01,self_care_and_dressing,dressing,"putting on clothing/accessory"
17,"take off a shoe",C10-03,dressing_accessories,C8-01,self_care_and_dressing,dressing,"removing clothing/accessory"
18,"wear on glasses",C10-03,dressing_accessories,C8-01,self_care_and_dressing,dressing,"putting on accessory"
19,"take off glasses",C10-03,dressing_accessories,C8-01,self_care_and_dressing,dressing,"removing accessory"
20,"put on a hat/cap",C10-03,dressing_accessories,C8-01,self_care_and_dressing,dressing,"putting on accessory"
21,"take off a hat/cap",C10-03,dressing_accessories,C8-01,self_care_and_dressing,dressing,"removing accessory"
22,"cheer up",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"affective celebratory gesture"
23,"hand waving",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"communicative waving gesture"
24,"kicking something",C10-04,object_manipulation,C8-02,object_manipulation,object_handling,"interaction target is an object rather than a person"
25,"reach into pocket",C10-04,object_manipulation,C8-02,object_manipulation,object_handling,"self-object retrieval/manipulation"
26,"hopping (one foot jumping)",C10-05,posture_locomotion,C8-03,posture_locomotion,locomotion,"gross lower-body movement"
27,"jump up",C10-05,posture_locomotion,C8-03,posture_locomotion,locomotion,"gross lower-body movement"
28,"make a phone call/answer phone",C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,document_device_use,"phone-mediated communication"
29,"playing with phone/tablet",C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,document_device_use,"handheld device interaction"
30,"typing on a keyboard",C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,document_device_use,"device-oriented manual input"
31,"pointing to something with finger",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"deictic communicative gesture"
32,"taking a selfie",C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,document_device_use,"camera/phone-mediated action"
33,"check time (from watch)",C10-07,reading_writing_device_use,C8-05,reading_writing_device_use,document_device_use,"wearable-device checking behavior"
34,"rub two hands together",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"salient upper-body hand gesture without external object target"
35,"nod head/bow",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"head-based communicative gesture"
36,"shake head",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"head-based communicative gesture"
37,"wipe face",C10-02,personal_grooming,C8-01,self_care_and_dressing,grooming,"self-cleaning/self-care motion"
38,"salute",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"conventional symbolic gesture"
39,"put the palms together",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"conventional symbolic gesture"
40,"cross hands in front (say stop)",C10-06,expressive_gestures,C8-04,expressive_gestures,expressive_gesture,"conventional prohibitive gesture"
41,"sneeze/cough",C10-08,health_body_state,C8-06,health_body_state,body_state,"physiological or discomfort-related behavior"
42,"staggering",C10-08,health_body_state,C8-06,health_body_state,body_state,"abnormal balance/condition cue"
43,"falling",C10-08,health_body_state,C8-06,health_body_state,body_state,"abnormal body-state event"
44,"touch head (headache)",C10-08,health_body_state,C8-06,health_body_state,body_state,"self-touch indicating discomfort"
45,"touch chest (stomachache/heart pain)",C10-08,health_body_state,C8-06,health_body_state,body_state,"self-touch indicating discomfort"
46,"touch back (backache)",C10-08,health_body_state,C8-06,health_body_state,body_state,"self-touch indicating discomfort"
47,"touch neck (neckache)",C10-08,health_body_state,C8-06,health_body_state,body_state,"self-touch indicating discomfort"
48,"nausea or vomiting condition",C10-08,health_body_state,C8-06,health_body_state,body_state,"physiological distress cue"
49,"use a fan (with hand or paper)/feeling warm",C10-08,health_body_state,C8-06,health_body_state,body_state,"temperature/discomfort regulation behavior"
