ntu60_id,ntu60_label,motion10_index,motion10_id,motion10_name,motion8_index,motion8_id,motion8_name,dominant_parts,rule_basis,note
1,drink water,0,M10-01,hand_to_head_face,0,M8-01,self_upper_body_actions,hand+head,hand_to_mouth_face,single-hand approach to mouth/face region
2,eat meal/snack,0,M10-01,hand_to_head_face,0,M8-01,self_upper_body_actions,hand+head,hand_to_mouth_face,hand-to-mouth ingestion trajectory
3,brushing teeth,0,M10-01,hand_to_head_face,0,M8-01,self_upper_body_actions,hand+head,hand_to_mouth_face,repetitive hand motion near mouth
4,brushing hair,0,M10-01,hand_to_head_face,0,M8-01,self_upper_body_actions,hand+head,hand_to_head_face,repetitive hand motion near head
5,drop,1,M10-05,object_directed_limb_action,1,M8-04,object_directed_limb_action,arm+hand,object_release_transfer,object release by upper limb
6,pickup,1,M10-05,object_directed_limb_action,1,M8-04,object_directed_limb_action,arm+hand+trunk,object_pick_recover,reach-down and object pickup trajectory
7,throw,1,M10-05,object_directed_limb_action,1,M8-04,object_directed_limb_action,arm+trunk,object_release_transfer,arm swing ending in object release
8,sitting down,2,M10-06,posture_transition_locomotion,2,M8-05,posture_transition_locomotion,legs+trunk,vertical_posture_transition,clear center-of-mass lowering pattern
9,standing up (from sitting position),2,M10-06,posture_transition_locomotion,2,M8-05,posture_transition_locomotion,legs+trunk,vertical_posture_transition,clear center-of-mass rising pattern
10,clapping,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,both_hands+arms,bilateral_upper_body_gesture,repetitive bilateral hand convergence
11,reading,4,M10-04,fine_manual_front_object,4,M8-03,fine_manual_front_object,hand+forearm+head,front_of_body_fine_manual,small-amplitude front-of-body interaction
12,writing,4,M10-04,fine_manual_front_object,4,M8-03,fine_manual_front_object,hand+forearm,front_of_body_fine_manual,fine manual movement near desk/front torso
13,tear up paper,4,M10-04,fine_manual_front_object,4,M8-03,fine_manual_front_object,both_hands,front_of_body_fine_manual,bimanual fine manipulation in front of torso
14,wear jacket,5,M10-03,dressing_accessory_motion,5,M8-02,dressing_accessory_motion,both_arms+trunk,body_wear_adjustment,garment placement over trunk and arms
15,take off jacket,5,M10-03,dressing_accessory_motion,5,M8-02,dressing_accessory_motion,both_arms+trunk,body_wear_adjustment,garment removal from trunk and arms
16,wear a shoe,5,M10-03,dressing_accessory_motion,5,M8-02,dressing_accessory_motion,hand+leg+trunk,body_wear_adjustment,hand-to-foot dressing motion
17,take off a shoe,5,M10-03,dressing_accessory_motion,5,M8-02,dressing_accessory_motion,hand+leg+trunk,body_wear_adjustment,hand-to-foot undressing motion
18,wear on glasses,5,M10-03,dressing_accessory_motion,5,M8-02,dressing_accessory_motion,hands+head,body_wear_adjustment,both hands move accessory to head
19,take off glasses,5,M10-03,dressing_accessory_motion,5,M8-02,dressing_accessory_motion,hands+head,body_wear_adjustment,both hands remove accessory from head
20,put on a hat/cap,5,M10-03,dressing_accessory_motion,5,M8-02,dressing_accessory_motion,hands+head,body_wear_adjustment,upward hand motion to head with accessory
21,take off a hat/cap,5,M10-03,dressing_accessory_motion,5,M8-02,dressing_accessory_motion,hands+head,body_wear_adjustment,head accessory removal
22,cheer up,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,arms+hands,upper_body_expressive_pattern,salient celebratory arm gesture
23,hand waving,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,arm+hand,upper_body_expressive_pattern,side-to-side waving motion
24,kicking something,1,M10-05,object_directed_limb_action,1,M8-04,object_directed_limb_action,leg+trunk,object_directed_limb_strike,lower-limb strike toward external target
25,reach into pocket,6,M10-02,torso_self_touch_reach,0,M8-01,self_upper_body_actions,hand+torso,torso_reach_self_contact,self-directed reach to torso/pocket area
26,hopping (one foot jumping),2,M10-06,posture_transition_locomotion,2,M8-05,posture_transition_locomotion,leg+trunk,locomotor_dynamic_pattern,repetitive lower-body propulsion
27,jump up,2,M10-06,posture_transition_locomotion,2,M8-05,posture_transition_locomotion,leg+trunk,locomotor_dynamic_pattern,vertical full-body propulsion
28,make a phone call/answer phone,4,M10-04,fine_manual_front_object,4,M8-03,fine_manual_front_object,hand+head,front_of_body_fine_manual,small-amplitude object use near head
29,playing with phone/tablet,4,M10-04,fine_manual_front_object,4,M8-03,fine_manual_front_object,hands+forearms,front_of_body_fine_manual,fine two-hand device interaction
30,typing on a keyboard,4,M10-04,fine_manual_front_object,4,M8-03,fine_manual_front_object,hands+forearms,front_of_body_fine_manual,rapid small-amplitude finger/hand motion
31,pointing to something with finger,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,arm+hand,deictic_upper_body_gesture,one-arm extension with finger emphasis
32,taking a selfie,4,M10-04,fine_manual_front_object,4,M8-03,fine_manual_front_object,arm+hand+head,front_of_body_fine_manual,device-oriented arm extension plus framing pose
33,check time (from watch),4,M10-04,fine_manual_front_object,4,M8-03,fine_manual_front_object,hands+forearms,front_of_body_fine_manual,small self-facing arm/hand inspection motion
34,rub two hands together,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,both_hands,bilateral_upper_body_gesture,repetitive bilateral hand friction
35,nod head/bow,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,head+trunk,upper_body_expressive_pattern,head-dominant expressive motion
36,shake head,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,head,upper_body_expressive_pattern,head-dominant side-to-side motion
37,wipe face,0,M10-01,hand_to_head_face,0,M8-01,self_upper_body_actions,hand+head,hand_to_head_face,hand sweeps across face region
38,salute,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,arm+head,upper_body_expressive_pattern,one-arm conventional symbolic gesture
39,put the palms together,3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,both_hands,bilateral_upper_body_gesture,bilateral hand convergence in front of torso
40,cross hands in front (say stop),3,M10-07,symbolic_expressive_gesture,3,M8-06,symbolic_expressive_gesture,both_arms,bilateral_upper_body_gesture,cross-arm blocking gesture
41,sneeze/cough,0,M10-01,hand_to_head_face,0,M8-01,self_upper_body_actions,head+hand+trunk,hand_to_head_face,upper-body contraction with face-covering tendency
42,staggering,7,M10-08,unstable_whole_body_state,6,M8-07,unstable_or_abnormal_state,legs+trunk,whole_body_instability,unstable balance and irregular whole-body sway
43,falling,7,M10-08,unstable_whole_body_state,6,M8-07,unstable_or_abnormal_state,whole_body,whole_body_instability,sudden loss of balance trajectory
44,touch head (headache),0,M10-01,hand_to_head_face,0,M8-01,self_upper_body_actions,hand+head,hand_to_head_face,self-touch concentrated on head region
45,touch chest (stomachache/heart pain),6,M10-02,torso_self_touch_reach,0,M8-01,self_upper_body_actions,hand+torso,torso_reach_self_contact,self-touch concentrated on chest/torso
46,touch back (backache),6,M10-02,torso_self_touch_reach,0,M8-01,self_upper_body_actions,hand+torso,torso_reach_self_contact,self-touch concentrated on back/torso
47,touch neck (neckache),6,M10-02,torso_self_touch_reach,0,M8-01,self_upper_body_actions,hand+neck,torso_reach_self_contact,self-touch concentrated on neck/upper torso
48,nausea or vomiting condition,6,M10-02,torso_self_touch_reach,0,M8-01,self_upper_body_actions,hand+torso+head,torso_reach_self_contact,body contraction and self-directed torso motion
49,use a fan (with hand or paper)/feeling warm,0,M10-01,hand_to_head_face,0,M8-01,self_upper_body_actions,arm+hand+head,hand_to_head_face,repetitive hand/object motion near face
50,punching/slapping other person,8,M10-10,interpersonal_aggressive,7,M8-08,interpersonal_actions,arm+trunk,person_directed_forceful_contact,forceful upper-limb action toward another person
51,kicking other person,8,M10-10,interpersonal_aggressive,7,M8-08,interpersonal_actions,leg+trunk,person_directed_forceful_contact,forceful lower-limb action toward another person
52,pushing other person,8,M10-10,interpersonal_aggressive,7,M8-08,interpersonal_actions,arms+trunk,person_directed_forceful_contact,forward force application toward another person
53,pat on back of other person,9,M10-09,interpersonal_non_aggressive,7,M8-08,interpersonal_actions,arm+trunk,person_directed_contact,light contact toward another person
54,point finger at the other person,9,M10-09,interpersonal_non_aggressive,7,M8-08,interpersonal_actions,arm+hand,person_directed_contact,deictic arm extension toward another person
55,hugging other person,9,M10-09,interpersonal_non_aggressive,7,M8-08,interpersonal_actions,arms+trunk,person_directed_contact,bilateral arm closure around another person
56,giving something to other person,9,M10-09,interpersonal_non_aggressive,7,M8-08,interpersonal_actions,arm+hand,person_directed_contact,forward hand extension toward another person
57,touch other person's pocket,9,M10-09,interpersonal_non_aggressive,7,M8-08,interpersonal_actions,hand+trunk,person_directed_contact,targeted reach to other person's torso area
58,handshaking,9,M10-09,interpersonal_non_aggressive,7,M8-08,interpersonal_actions,arm+hand,person_directed_contact,reciprocal hand contact
59,walking towards each other,9,M10-09,interpersonal_non_aggressive,7,M8-08,interpersonal_actions,legs+trunk,relational_interpersonal_motion,locomotion defined by decreasing inter-person distance
60,walking apart from each other,9,M10-09,interpersonal_non_aggressive,7,M8-08,interpersonal_actions,legs+trunk,relational_interpersonal_motion,locomotion defined by increasing inter-person distance
