ntu60_id,ntu60_label,motion10_id,motion10_name,motion8_id,motion8_name,dominant_parts,rule_basis,note
1,"drink water",M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head,hand_to_mouth_face,"single-hand approach to mouth/face region"
2,"eat meal/snack",M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head,hand_to_mouth_face,"hand-to-mouth ingestion trajectory"
3,"brushing teeth",M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head,hand_to_mouth_face,"repetitive hand motion near mouth"
4,"brushing hair",M10-01,hand_to_head_face,M8-01,self_upper_body_actions,hand+head,hand_to_head_face,"repetitive hand motion near head"
5,"drop",M10-05,object_directed_limb_action,M8-04,object_directed_limb_action,arm+hand,object_release_transfer,"object release by upper limb"
6,"pickup",M10-05,object_directed_limb_action,M8-04,object_directed_limb_action,arm+hand+trunk,object_pick_recover,"reach-down and object pickup trajectory"
7,"throw",M10-05,object_directed_limb_action,M8-04,object_directed_limb_action,arm+trunk,object_release_transfer,"arm swing ending in object release"
8,"sitting down",M10-06,posture_transition_locomotion,M8-05,posture_transition_locomotion,legs+trunk,vertical_posture_transition,"clear center-of-mass lowering pattern"
9,"standing up (from sitting position)",M10-06,posture_transition_locomotion,M8-05,posture_transition_locomotion,legs+trunk,vertical_posture_transition,"clear center-of-mass rising pattern"
10,"clapping",M10-07,symbolic_expressive_gesture,M8-06,symbolic_expressive_gesture,both_hands+arms,bilateral_upper_body_gesture,"repetitive bilateral hand convergence"
11,"reading",M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,hand+forearm+head,front_of_body_fine_manual,"small-amplitude front-of-body interaction"
12,"writing",M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,hand+forearm,front_of_body_fine_manual,"fine manual movement near desk/front torso"
13,"tear up paper",M10-04,fine_manual_front_object,M8-03,fine_manual_front_object,both_hands,front_of_body_fine_manual,"bimanual fine manipulation in front of torso"
14,"wear jacket",M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,both_arms+trunk,body_wear_adjustment,"garment placement over trunk and arms"
15,"take off jacket",M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,both_arms+trunk,body_wear_adjustment,"garment removal from trunk and arms"
16,"wear a shoe",M10-03,dressing_accessory_motion,M8-02,dressing_accessory_motion,hand+leg+trunk,body_wear_adjustment,"hand-to-foot dressing motion"
